name,song_name,song_subgenre
Schindler's List,God Bless The Child,"bebop, contemporary post-bop, jazz, jazz saxophone"
Schindler's List,La Capricieuse Opus 17,"classical, classical era, early romantic era"
Schindler's List,Die Holzauktion,oktoberfest
Schindler's List,Gute Nacht Mutter,vintage schlager
Schindler's List,Oyf 'n Pripetshok,"orchestral soundtrack, soundtrack"
Schindler's List,Yeroushalaim Shel Zahav,
Schindler's List,Por Una Cabeza,japanese instrumental
Schindler's List,"Meine Lippen, Sie Küssen So Heiss ","german opera, operetta, post-romantic era"
Schindler's List,To Ostatnia Niedziela,classic polish pop
Schindler's List,English Suite No.2 in A Minor,"baroque, classical, early music, german baroque"
Schindler's List,Mein Vater War Ein Wandersmann,
Schindler's List,Auf Der Heide Blueht Ein Kleines Bluemelein,
Schindler's List,Szomorú Vasárnap,
Schindler's List,Sus Ojos Se Cerraron,"latin classical, tango"
Schindler's List,Milosc ci wszystko wybaczy,classic polish pop
The Lord of the Rings: The Return of the King,Into the West,"new romantic, new wave, new wave pop, singer-songwriter, soft rock, synthpop"
The Lord of the Rings: The Return of the King,The Green Dragon,"canadian classical, canadian soundtrack, middle earth, orchestral soundtrack, scorecore, soundtrack"
The Lord of the Rings: The Return of the King,The Edge of Night,middle earth
The Lord of the Rings: The Return of the King,Aragorn's Coronation,middle earth
The Lord of the Rings: The Return of the King,The House of Healing,"canadian classical, canadian soundtrack, middle earth, orchestral soundtrack, scorecore, soundtrack"
The Lord of the Rings: The Return of the King,A Shadow Lies Between Us,
Pulp Fiction,Misirlou,"baroque pop, classic rock, folk rock, mellow gold, psychedelic rock, rock, singer-songwriter, sunshine pop"
Pulp Fiction,It's Country,"contemporary country, country, country road, modern country rock"
Pulp Fiction,Jungle Boogie,"disco, funk, motown, soft rock, soul"
Pulp Fiction,Strawberry Letter #23,"classic soul, disco, funk, jazz funk, p funk, post-disco, quiet storm, soul"
Pulp Fiction,Bustin' Surfboards,surf music
Pulp Fiction,Let's Stay Together,"classic soul, funk, memphis soul, quiet storm, soul, soul blues, southern soul"
Pulp Fiction,Son Of A Preacher Man,"adult standards, british invasion, soul, vocal jazz"
Pulp Fiction,Bullwinkle Part II,surf music
Pulp Fiction,Waitin' In School,"adult standards, doo-wop, rock-and-roll, rockabilly"
Pulp Fiction,Lonesome Town,"adult standards, doo-wop, rock-and-roll, rockabilly"
Pulp Fiction,Ace Of Spades,"alternative metal, hard rock, metal, nu metal, rock, speed metal"
Pulp Fiction,Rumble,"brostep, complextro, edm, electro, pop dance"
Pulp Fiction,Since I First Met You,"doo-wop, rhythm and blues"
Pulp Fiction,Teenagers In Love,
Pulp Fiction,You Never Can Tell,"blues, blues rock, classic rock, rock, rock-and-roll, rockabilly, soul"
Pulp Fiction,"Girl, You'll Be A Woman Soon ",
Pulp Fiction,If Love Is A Red Dress (Hang Me In Rags),
Pulp Fiction,Flowers On The Wall,"country, country rock"
Pulp Fiction,Out Of Limits,surf music
Pulp Fiction,Surf Rider,surf music
Pulp Fiction,Comanche,"alternative metal, nu metal, post-grunge"
Pulp Fiction,"Ole, Ole ","filmi, modern bollywood"
The Lord of the Rings: The Fellowship of the Ring,Flaming Red Hair,"canadian classical, canadian soundtrack, middle earth, orchestral soundtrack, scorecore, soundtrack"
The Lord of the Rings: The Fellowship of the Ring,The Road Goes Ever On,"canadian classical, canadian soundtrack, middle earth, orchestral soundtrack, scorecore, soundtrack"
The Lord of the Rings: The Fellowship of the Ring,In Dreams,"alternative americana, new americana"
The Lord of the Rings: The Fellowship of the Ring,May It Be,"celtic, gregorian dance, operatic pop"
The Lord of the Rings: The Fellowship of the Ring,Aníron,"celtic, gregorian dance, operatic pop"
The Lord of the Rings: The Fellowship of the Ring,To The Bottle I Go,
The Lord of the Rings: The Fellowship of the Ring,The Song of Beren and Luthien,middle earth
"The Good, the Bad and the Ugly",The Story Of A Soldier,"classic soundtrack, italian soundtrack, orchestral soundtrack, vintage italian soundtrack"
"The Good, the Bad and the Ugly",The Ecstasy of Gold,"classic soundtrack, italian soundtrack, orchestral soundtrack, vintage italian soundtrack"
Forrest Gump,Lovesick Blues,"country, honky tonk, traditional country, yodeling"
Forrest Gump,Hound Dog,
Forrest Gump,Rebel Rouser,"rock-and-roll, rockabilly, surf music"
Forrest Gump,(I Don't Know Why) But I Do,"doo-wop, louisiana blues, new orleans blues, rhythm and blues, rock-and-roll"
Forrest Gump,Walk Right In,american folk revival
Forrest Gump,Sugar Shack,
Forrest Gump,Paramount Newsreel Music,
Forrest Gump,Camelot,"memphis hip hop, rap"
Forrest Gump,Pomp and Circumstance,"british modern classical, classical, late romantic era, victorian britain"
Forrest Gump,Hanky Panky,"bubblegum pop, classic garage rock, classic rock, country rock, folk rock, mellow gold, merseybeat, psychedelic rock, rock-and-roll"
Forrest Gump,Blowin' in the Wind,"classic rock, country rock, folk, folk rock, rock, roots rock, singer-songwriter"
Forrest Gump,Land of 1000 Dances,"classic soul, memphis soul, soul, southern soul"
Forrest Gump,Fortunate Son,"album rock, classic rock, country rock, mellow gold, rock, southern rock, swamp rock"
Forrest Gump,I Can't Help Myself (Sugar Pie Honey Bunch),"classic soul, disco, motown, quiet storm, soul"
Forrest Gump,Respect,"classic soul, jazz blues, memphis soul, soul, southern soul, vocal jazz"
Forrest Gump,Rainy Day Women #12 & 35,"classic rock, country rock, folk, folk rock, rock, roots rock, singer-songwriter"
Forrest Gump,Sloop John B,"baroque pop, classic rock, folk rock, mellow gold, psychedelic rock, rock, singer-songwriter, sunshine pop"
Forrest Gump,All Along The Watchtower,"acid rock, album rock, alternative rock, classic rock, hard rock, proto-metal, psychedelic rock, rock"
Forrest Gump,Soul Kitchen,"acid rock, album rock, classic rock, hard rock, psychedelic rock, rock"
Forrest Gump,California Dreamin',"classic rock, folk rock, mellow gold, psychedelic rock, rock, soft rock, sunshine pop"
Forrest Gump,For What It's Worth,"album rock, blues rock, classic rock, country rock, folk, folk rock, mellow gold, psychedelic rock, rock, soft rock, southern rock"
Forrest Gump,What the World Needs Now is Love,brill building pop
Forrest Gump,Webster's Boomer,
Forrest Gump,"Hello, I Love You ","acid rock, album rock, classic rock, hard rock, psychedelic rock, rock"
Forrest Gump,People Are Strange,"acid rock, album rock, classic rock, hard rock, psychedelic rock, rock"
Forrest Gump,Break On Through (To the Other Side),"acid rock, album rock, classic rock, hard rock, psychedelic rock, rock"
Forrest Gump,Mrs. Robinson,"classic rock, folk, folk rock, melancholia, mellow gold, rock, soft rock"
Forrest Gump,Volunteers,"acid rock, album rock, blues rock, classic rock, folk rock, hard rock, mellow gold, psychedelic rock, rock, singer-songwriter"
Forrest Gump,"Hey, Joe ","acid rock, album rock, alternative rock, classic rock, hard rock, proto-metal, psychedelic rock, rock"
Forrest Gump,Where Have All the Flowers Gone?,"american folk revival, folk"
Forrest Gump,Let's Get Together,"k-pop, k-pop boy group"
Forrest Gump,San Francisco (Be Sure to Wear Flowers in Your Hair),
Forrest Gump,"Turn, Turn, Turn! (To Everything There is a Season) ","album rock, beatlesque, classic rock, cosmic american, country rock, folk, folk rock, mellow gold, psychedelic rock, rock, soft rock"
Forrest Gump,Aquarius,"alternative r&b, dance pop, metropopolis, pop, r&b, urban contemporary"
Forrest Gump,Joy to the World,"album rock, classic rock, country rock, folk rock, hard rock, mellow gold, soft rock"
Forrest Gump,Everybody's Talkin',"blues rock, electric blues, jam band, modern blues, roots rock, southern rock"
Forrest Gump,Silent Night,"classic soul, disco, memphis soul, motown, soul"
Forrest Gump,Stoned Love,"classic girl group, classic soul, disco, motown, soul"
Forrest Gump,Thanks for the Memory,"contemporary post-bop, cool jazz, jazz guitar"
Forrest Gump,Love Her Madly,"acid rock, album rock, classic rock, hard rock, psychedelic rock, rock"
Forrest Gump,Let's Work Together,rhythm and blues
Forrest Gump,Raindrops Keep Fallin' on My Head,"adult standards, bubblegum pop, classic country pop, folk rock, mellow gold, soft rock"
Forrest Gump,Tie a Yellow Ribbon 'Round the Ole Oak Tree,
Forrest Gump,Jesus on the Mainline,
Forrest Gump,Get Down Tonight,"disco, mellow gold, new wave pop, soft rock, soul"
Forrest Gump,Free Bird,"album rock, classic rock, hard rock, rock, southern rock"
Forrest Gump,Mr. President (Have Pity on the Working Man),"movie tunes, singer-songwriter"
Forrest Gump,My Rock,"christian hip hop, christian trap"
Forrest Gump,Sweet Home Alabama,"album rock, classic rock, hard rock, rock, southern rock"
Forrest Gump,Plant My Feet on Higher Ground,vocal harmony group
Forrest Gump,I've Got a New Home,"chicago soul, classic soul, memphis soul, soul, southern soul"
Forrest Gump,It Keeps You Runnin',"album rock, classic rock, country rock, folk rock, mellow gold, rock, singer-songwriter, soft rock, yacht rock"
Forrest Gump,Running On Empty,"album rock, classic rock, country rock, folk, folk rock, heartland rock, mellow gold, piano rock, singer-songwriter, soft rock"
Forrest Gump,I've Got to Use My Imagination,"acoustic pop, lafayette indie"
Forrest Gump,Go Your Own Way,punk cover
Forrest Gump,On The Road Again,"classic country pop, classic texas country, country, country rock, nashville sound, outlaw country, singer-songwriter"
Forrest Gump,Against The Wind,"album rock, classic rock, country rock, detroit rock, hard rock, heartland rock, mellow gold, rock, singer-songwriter, soft rock"
Fight Club,Coffee Shop Zak,"alt z, electropop, pop"
Fight Club,Svarga,"ethereal wave, medieval folk, neoclassical darkwave, world fusion"
Fight Club,Girl From Ypsilanti,
Fight Club,Cafeteria,otacore
Fight Club,Smoke Stack,"reggae fusion, reggae rock"
Fight Club,Forbidden To Love,"dance pop, pop"
Fight Club,Easy Smack It Up,"detroit hip hop, scam rap"
Fight Club,Splended & 4M15,
Fight Club,Goin' Out West,"folk, singer-songwriter"
Fight Club,"No Love, No Nothin' ","classic soul, soul, vocal jazz"
Fight Club,Theme from Valley of the Dolls,"jazz funk, jazz harp, space age pop"
Fight Club,KDFW News Theme,
Fight Club,Tzigany Waltz,
Fight Club,Where Is My Mind,ambient lo-fi
Inception,"Non, je ne Regrette rien ","chanson, torch song, vintage schlager"
Inception,Aboun Salehoun,world fusion
The Lord of the Rings: The Two Towers,Gollum's Song,lo-fi cover
The Lord of the Rings: The Two Towers,Evenstar,"canadian classical, canadian soundtrack, middle earth, orchestral soundtrack, scorecore, soundtrack"
The Lord of the Rings: The Two Towers,Breath of Life,"baroque pop, modern rock, neo mellow, uk alternative pop"
The Lord of the Rings: The Two Towers,Isengard Unleashed,"canadian classical, canadian soundtrack, middle earth, orchestral soundtrack, scorecore, soundtrack"
The Lord of the Rings: The Two Towers,Farewell to Lorien,"canadian classical, canadian soundtrack, middle earth, orchestral soundtrack, scorecore, soundtrack"
Star Wars: Episode V - The Empire Strikes Back,,
The Matrix,Dissolved Girl,"downtempo, electronica, trip hop"
The Matrix,Dragula (Hot Rod Herman Mix),"alternative metal, hard rock, industrial metal, industrial rock, nu metal, post-grunge, rock"
The Matrix,Leave You Far Behind (Lunatics Roller Coaster Mix),big beat
The Matrix,Mindfields,"big beat, breakbeat, dance rock, hardcore techno, rave"
The Matrix,Prime Audio Soup,"acid house, british industrial, industrial, industrial hip hop, industrial rock, intelligent dance music, trip hop"
The Matrix,Clubbed To Death (Kurayamino Mix),
The Matrix,Minor Swing,"french jazz, gypsy jazz, jazz, jazz guitar, swing"
The Matrix,Begin the Run,"comedy rock, comic, parody"
The Matrix,I'm Beginning to See the Light,"adult standards, easy listening, lounge, rock-and-roll, rockabilly, vocal jazz"
The Matrix,Spybreak (Short One),"big beat, breakbeat, electronica, funky breaks, trip hop"
The Matrix,Wake Up,"atl hip hop, dirty south rap, hip hop, pop rap, rap, southern hip hop, trap"
The Matrix,Rock is Dead,"alternative metal, hard rock, industrial, industrial metal, industrial rock, nu metal, post-grunge, rock"
Goodfellas,Rags to Riches,"adult standards, easy listening, lounge, vocal jazz"
Goodfellas,Can't We Be Sweethearts,"doo-wop, rhythm and blues, rock-and-roll"
Goodfellas,Hearts of Stone,"orchestral soundtrack, video game music"
Goodfellas,Sincerely,"broadway, show tunes"
Goodfellas,Firenze Sogna,"canzone napoletana, classical tenor, italian tenor, opera"
Goodfellas,Speedo,"dfw rap, melodic rap, pop, rap"
Goodfellas,Parlami d'Amore Mariù,"classical baritone, italian baritone, opera"
Goodfellas,Stardust,"anime score, japanese soundtrack"
Goodfellas,This World We Live In,classic texas country
Goodfellas,Playboy,"alt z, pop"
Goodfellas,It's Not for Me to Say,"adult standards, easy listening"
Goodfellas,I Will Follow Him,"brill building pop, classic schlager"
Goodfellas,Then He Kissed Me,"classic girl group, doo-wop, rock-and-roll"
Goodfellas,Look in My Eyes,"gymcore, hard alternative"
Goodfellas,Roses are Red,singer-songwriter pop
Goodfellas,Life is But a Dream,"doo-wop, rhythm and blues"
Goodfellas,Leader of the Pack,"brill building pop, classic girl group, rock-and-roll"
Goodfellas,"Toot, Toot, Tootsie (Goo' Bye!) ","big band, british dance band, music hall, swing, tin pan alley, vaudeville, vintage jazz"
Goodfellas,Happy Birthday to You,children's music
Goodfellas,Ain't That a Kick in the Head,"adult standards, easy listening, lounge, vocal jazz"
Goodfellas,He's Sure the Boy I Love,"classic girl group, doo-wop, rock-and-roll"
Goodfellas,Atlantis,folk-pop
Goodfellas,Pretend You Don't See Her,"adult standards, easy listening"
Goodfellas,Remember (Walkin' in the Sand),"brill building pop, classic girl group, rock-and-roll"
Goodfellas,Baby I Love You,"reggae, reggae fusion"
Goodfellas,Beyond the Sea,"adult standards, easy listening, lounge, rock-and-roll, rockabilly, vocal jazz"
Goodfellas,The Boulevard of Broken Dreams,"adult standards, easy listening, lounge, vocal jazz"
Goodfellas,Gimme Shelter,"album rock, british invasion, classic rock, rock"
Goodfellas,Wives and Lovers,"adult standards, easy listening"
Goodfellas,Monkey Man,"bhangra, classic bhangra, desi hip hop"
Goodfellas,Frosty the Snow Man,"classic oklahoma country, cowboy western, traditional country, western swing, yodeling"
Goodfellas,Christmas (Baby Please Come Home),"dance pop, pop, urban contemporary"
Goodfellas,Bells of St. Mary's,"adult standards, classic soul, doo-wop, rock-and-roll, rockabilly, soul"
Goodfellas,Unchained Melody,"adult standards, brill building pop, folk rock, mellow gold, motown, rock-and-roll, rockabilly"
Goodfellas,Danny Boy,irish ballad
Goodfellas,Sunshine of Your Love,"album rock, blues rock, british blues, classic rock, folk rock, hard rock, psychedelic rock, rock, singer-songwriter, supergroup"
Goodfellas,Layla,"album rock, blues rock, classic rock, electric blues, mellow gold, rock, singer-songwriter, soft rock"
Goodfellas,Jump into the Fire,"classic rock, folk, folk rock, singer-songwriter"
Goodfellas,Memo from Turner,"classic rock, dance rock"
Goodfellas,Magic Bus,"album rock, british invasion, classic rock, hard rock, rock"
Goodfellas,What Is Life,"album rock, classic rock, folk rock, mellow gold, rock, singer-songwriter, soft rock"
Goodfellas,Mannish Boy,"blues, blues rock, chicago blues, classic rock, electric blues, soul, traditional blues"
Goodfellas,My Way,"dance pop, edm, electro house, house, pop, progressive house, uk dance"
One Flew Over the Cuckoo's Nest,Charmaine,trap queen
One Flew Over the Cuckoo's Nest,The Star Spangled Banner,marching band
One Flew Over the Cuckoo's Nest,I'm Popeye the Sailor Man,"comedy, comic"
One Flew Over the Cuckoo's Nest,"Row, Row, Row Your Boat ",
One Flew Over the Cuckoo's Nest,Jingle Bells,"children's music, nursery"
One Flew Over the Cuckoo's Nest,White Christmas,"adult standards, easy listening, lounge"
Se7en,Closer (Precursor),"alternative metal, alternative rock, cyberpunk, electronic rock, grunge, industrial, industrial metal, industrial rock, nu metal, post-grunge, rock"
Se7en,El Michoacano,"corrido, musica mexicana, norteno, sierreno"
Se7en,"Suite No. 3 in D Major, BWV 1068 Air ","baroque, classical, early music, german baroque"
Se7en,Trouble Man,"classic soul, motown, neo soul, northern soul, quiet storm, soul"
Se7en,"Straight, No Chaser ","bebop, contemporary post-bop, jazz, jazz piano, jazz trio"
Se7en,Now's the Time,pop
Se7en,Gypsy Csardas,"italian romanticism, post-romantic era"
Se7en,The Fourth Man,"arkansas country, outlaw country, rock"
Se7en,Love Plus One,"brit funk, new romantic, new wave, new wave pop, sophisti-pop"
Se7en,I Cover the Waterfront,background jazz
Se7en,Lust,"art pop, pop"
Se7en,In the Beginning,"brostep, canadian electronic, dubstep, edm, electro house, progressive electro house"
Se7en,Guilty,pop
Se7en,Speaking of Happiness,indie psych-pop
Se7en,The Hearts Filthy Lesson,"art rock, classic rock, glam rock, permanent wave, rock"
Seven Samurai,,
It's a Wonderful Life,Buffalo Gal (Won't You Come Out Tonight),
It's a Wonderful Life,Adeste Fidelis (O Come All Ye Faithful),"choral, orchestral performance"
It's a Wonderful Life,"Twinkle, Twinkle, Little Star ",instrumental lullaby
It's a Wonderful Life,Charleston,"kentucky indie, kentucky roots, outlaw country"
It's a Wonderful Life,My Wild Irish Rose,"bebop, contemporary jazz, contemporary post-bop, ecm-style jazz, jazz, jazz fusion, jazz piano"
It's a Wonderful Life,Avalon,"cloud rap, dark trap, new orleans rap, underground hip hop"
It's a Wonderful Life,Wedding March,"classical, early romantic era, german romanticism"
It's a Wonderful Life,The Stars and Stripes Forever,"american romanticism, concert band"
It's a Wonderful Life,Song of the Islands,"ukulele, vintage hawaiian"
It's a Wonderful Life,I Love You Truly,british dance band
It's a Wonderful Life,"This Is the Army, Mr. Jones ",tin pan alley
It's a Wonderful Life,When Johnny Comes Marching Home,"marching band, military band"
It's a Wonderful Life,Hark! The Herald Angels Sing,"adult standards, easy listening, lounge"
It's a Wonderful Life,"Vieni, Vieni ","classical, italian opera, italian romanticism, post-romantic era"
It's a Wonderful Life,King Porter Stomp,"adult standards, big band, dixieland, jazz, jazz clarinet, swing, vintage jazz, vocal jazz"
It's a Wonderful Life,Auld Lang Syne,"acoustic pop, ectofolk, lilith, neo mellow"
It's a Wonderful Life,O Sole Mio,"canzone napoletana, post-romantic era"
It's a Wonderful Life,The Best Things in Life are Free,"dance pop, r&b, urban contemporary"
The Silence of the Lambs,American Girl,"album rock, classic rock, hard rock, heartland rock, mellow gold, rock, singer-songwriter, soft rock"
The Silence of the Lambs,Alone,electro house
The Silence of the Lambs,Sunny Day,"bedroom pop, bubblegrunge, indie pop, pov: indie"
The Silence of the Lambs,Real Men,"brooklyn indie, pov: indie"
The Silence of the Lambs,Goldberg Variations,"baroque, classical, early music, german baroque"
The Silence of the Lambs,Goodbye Horses,new romantic
The Silence of the Lambs,Hip Priest,"alternative rock, art punk, madchester, post-punk, shoegaze, uk post-punk"
The Silence of the Lambs,Lanmò Nan Zile A,kompa
The Silence of the Lambs,Rock of Ages,"album rock, classic rock, glam metal, hard rock, nwobhm, rock"
The Silence of the Lambs,The Magic Flute,"classical, classical era"
Saving Private Ryan,Solitude,"french shoegaze, french synthpop, indietronica, metropopolis, neo-synthpop"
Saving Private Ryan,Tu es Partout,"chanson, torch song, vintage schlager"
Saving Private Ryan,C'était une Histoire d'Amour,"chanson, torch song, vintage schlager"
City of God,Alvorada,"bossa nova, mpb, samba, velha guarda"
City of God,Azul da Cor do Mar,"brazilian boogie, brazilian soul, mpb"
City of God,Dance Across the Floor,deep disco
City of God,Get Up I Feel Like Being Like (Sex Machine),"funk, motown, soul, vocal jazz"
City of God,Hold Back the Water,"album rock, classic canadian rock, classic rock, country rock, folk rock, hard rock, mellow gold, rock, singer-songwriter, soft rock"
City of God,Hot Pants Road,"classic soul, funk, jazz funk, p funk, soul, soul jazz"
City of God,Kung Fu Fighting,"atl hip hop, pop rap"
City of God,Magrelinha,"bossa nova, mpb, samba, velha guarda"
City of God,Metamorfose Ambulante,"mpb, psicodelia brasileira, rock baiano, rock nacional brasileiro"
City of God,"Na Rua, Na Chuva, Na Fazenda (Casinha de Sapê) ","mpb, pop rock brasileiro, rock nacional brasileiro"
City of God,Nem Vem Que Não Tem,"bossa nova, mpb, samba, tropicalia, velha guarda"
City of God,O Caminho Do Bem,"brazilian boogie, brazilian soul, mpb"
City of God,Preciso Me Encontrar,"bossa nova, mpb, samba, velha guarda"
City of God,So Very Hard to Go,"funk, jazz funk, p funk"
Life Is Beautiful,Marcia Reale,
Life Is Beautiful,Belle nuit (Barcarolle),"classical, french opera, french romanticism, german romanticism, late romantic era, operetta"
The Green Mile,Charmaine,trap queen
The Green Mile,Cheek to Cheek,"adult standards, jazz, jazz blues, soul, swing, vocal jazz"
The Green Mile,Old Fashioned Love,"classic rock, glam rock, rock"
The Green Mile,Old Alabama,"contemporary country, country, country road"
The Green Mile,I Can't Give You Anything But Love,torch song
The Green Mile,Star Dust,"corecore, pov: indie, slowcore"
The Green Mile,Three Little Words,
The Green Mile,Did You Ever See a Dream Walking,british dance band
The Green Mile,Wrap Your Troubles in Dreams (And Dream Your Troubles Away),"adult standards, easy listening, lounge"
The Green Mile,Charmaine,trap queen
Star Wars,,
Interstellar,Do Not Go Gentle Into that Good Night,"german soundtrack, orchestral soundtrack, soundtrack"
Terminator 2: Judgment Day,You Could Be Mine,"glam metal, hard rock, rock"
Terminator 2: Judgment Day,Bad to the Bone,"album rock, blues rock, classic rock, country rock, hard rock, heartland rock, mellow gold, rock"
Terminator 2: Judgment Day,"Guitars, Cadillacs ","bakersfield sound, country, country rock"
Back to the Future,THE POWER OF LOVE,"album rock, classic rock, hard rock, mellow gold, new romantic, new wave pop, rock, singer-songwriter, soft rock"
Back to the Future,BACK IN TIME,ambient lo-fi
Back to the Future,HEAVEN IS ONE STEP AWAY,classic soul
Back to the Future,TIME BOMB TOWN,classic rock
Back to the Future,MR. SANDMAN,"classic girl group, doo-wop, vocal harmony group"
Back to the Future,THE BALLAD OF DAVY CROCKETT,acoustic guitar cover
Back to the Future,THE WALLFLOWER (DANCE WITH ME HENRY),"jazz blues, soul, soul blues, torch song, vocal jazz"
Back to the Future,Out The Window,pov: indie
Back to the Future,NIGHT TRAIN,"contemporary country, country, country road, modern country rock"
Back to the Future,PLEDGING MY LOVE,"rock-and-roll, rockabilly"
Back to the Future,EARTH ANGEL (WILL YOU BE MINE),"doo-wop, rock-and-roll"
Back to the Future,JOHNNY B. GOODE,"blues, blues rock, classic rock, rock, rock-and-roll, rockabilly, soul"
Back to the Future,Out The Window,pov: indie
Spirited Away,Ano natsu e,classic city pop
Spirited Away,Tôri michi,
Spirited Away,Daremoinai ryôri-ten,
Spirited Away,Yoru kuru,touhou
Spirited Away,Ryû no shônen,japanese instrumental
Spirited Away,Boirâ mushi,"nordic folk, sami, yoik"
Spirited Away,Kamisama-tachi,touhou
Spirited Away,Yubâba,"anime, anime score, japanese classical, japanese soundtrack, orchestral soundtrack"
Spirited Away,Yuya no asa,
Spirited Away,Ano hi no kawa,japanese instrumental
Spirited Away,Shigoto wa tsurai ze,j-pop
Spirited Away,Okusare-gami,
Spirited Away,Sen no yûki,"anime score, japanese soundtrack"
Spirited Away,Sokonashi ana,japanese instrumental
Spirited Away,Kaonashi,"metallic hardcore, pennsylvania hardcore"
Spirited Away,6-Banme no eki,
Spirited Away,Yubâba kyôran,
Spirited Away,Numa no soko no ie,
Spirited Away,Futatabi,
Spirited Away,Kaeru hi,
Spirited Away,Itsumo Nando-demo,fantasy
Spirited Away,Paradise,"permanent wave, pop"
Psycho,,
Léon: The Professional,Shape Of My Heart,"boy band, dance pop, pop"
Léon: The Professional,The Experience of Love,"acid rock, album rock, alternative rock, classic rock, hard rock, proto-metal, psychedelic rock, rock"
Léon: The Professional,Venus As A Boy,"alternative rock, art pop, electronica, experimental pop, experimental vocal, icelandic experimental, icelandic pop, icelandic singer-songwriter, metropopolis, permanent wave, trip hop"
Léon: The Professional,I Like Myself,"escape room, hip pop, modern alternative rock"
Léon: The Professional,Like a Virgin,"dance pop, pop"
Léon: The Professional,Happy Birthday,
Léon: The Professional,Singing in the Rain,"glee club, post-teen pop"
The Pianist,"Nocturne in C# Minor, Posthumous ",
The Pianist,"Grande Polonaise Brillante, Op. 22 - Allegro Molto ","classical, early romantic era, polish classical"
The Pianist,"Ballad No. 1 in G Minor, Op. 23 ","classical, early romantic era, polish classical"
The Pianist,"Sonata No. 14 in C# Minor, Op. 27/2: 'Mondscheinsonate' ","classical, classical era, early romantic era, german romanticism"
The Pianist,Suite No. 1 BWV 1007 for Solo Cello,"baroque, classical, early music, german baroque"
The Pianist,"Tantz, Tantz Yidelekh ",
The Pianist,Umowilem sie z nia na dziewiata,classic polish pop
The Pianist,Marsz Strzelcow,
The Pianist,Polish National Anthem,
Parasite,"Rodelinda: Act 2 - Spietati, io vi giurai ","baroque, classical, early music, english baroque, german baroque"
Parasite,In Ginocchio Da Te,"classic italian pop, italian adult pop"
Parasite,A Glass of Soju,korean pop
The Lion King,Circle of Life,movie tunes
The Lion King,Nants' Ingonyama,
The Lion King,I Just Can't Wait to Be King,movie tunes
The Lion King,The Morning Report,movie tunes
The Lion King,Be Prepared,movie tunes
The Lion King,Hakuna Matata,movie tunes
The Lion King,Can You Feel the Love Tonight,movie tunes
The Lion King,The Lion Sleeps Tonight,"doo-wop, sunshine pop"
The Lion King,It's a Small World,instrumental lullaby
The Lion King,I've Got a Lovely Bunch of Coconuts,
The Lion King,Hawaiian War Chant,
The Lion King,Can You Feel the Love Tonight (End Title),"glam rock, mellow gold, piano rock, rock"
The Lion King,Nobody Knows the Trouble I've Seen,"big band, swing"
The Lion King,Eluring,estonian folk
